TITLE	
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/10/20
TIME	15:31:38
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	0.964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  649.8934
LASTX	 4000.6047
NPOINTS	    3476
FIRSTY	    90.93753
MAXY	   100.05249
MINY	    13.18448
XYDATA
1176.3649	69.9692
1177.3291	70.8486
1178.2933	72.6268
1179.2576	74.9265
1180.2218	77.3093
1181.1860	79.3924
1182.1503	80.9245
1183.1145	81.8014
1184.0787	82.0348
1185.0430	81.704
1186.0072	80.9213
1186.9714	79.8178
1187.9357	78.5447
1188.8999	77.2741
1189.8641	76.1899
1190.8284	75.4672
1191.7926	75.2441
1192.7568	75.5959
1193.7211	76.5187
1194.6853	77.9305
1195.6495	79.6895
1196.6138	81.626
1197.5780	83.5775
1198.5422	85.4159
1199.5065	87.0603
1200.4707	88.4742
1201.4349	89.6535
1202.3992	90.6124
1203.3634	91.3745
1204.3276	91.9676
1205.2919	92.4221
1206.2561	92.7688
1207.2203	93.0361
1208.1846	93.2467
1209.1488	93.4161
1210.1130	93.5525
1211.0773	93.6589
1212.0415	93.7354
1213.0057	93.7806
1213.9700	93.7936
1214.9342	93.7745
1215.8984	93.7246
1216.8627	93.646
1217.8269	93.5402
1218.7911	93.4072
1219.7554	93.2458
1220.7196	93.0547
1221.6838	92.8337
1222.6481	92.5847
1223.6123	92.3107
1224.5765	92.0135
1225.5408	91.6918
1226.5050	91.341
1227.4692	90.9544
1228.4335	90.525
1229.3977	90.0472
1230.3619	89.5167
1231.3262	88.9285
1232.2904	88.276
1233.2546	87.5492
1234.2189	86.7356
1235.1831	85.8222
1236.1473	84.7985
1237.1116	83.658
1238.0758	82.3982
1239.0400	81.0187
1240.0043	79.5195
1240.9685	77.9009
1241.9327	76.1657
1242.8970	74.3225
1243.8612	72.3876
1244.8254	70.3856
1245.7897	68.348
1246.7539	66.3119
1247.7181	64.3188
1248.6824	62.4113
1249.6466	60.6282
1250.6108	58.9965
1251.5751	57.5246
1252.5393	56.2
1253.5035	54.9915
1254.4678	53.8554
1255.4320	52.7416
1256.3962	51.5975
1257.3605	50.3697
1258.3247	49.0052
1259.2889	47.4541
1260.2532	45.6735
1261.2174	43.6319
1262.1816	41.3144
1263.1459	38.7284
1264.1101	35.9119
1265.0743	32.9408
1266.0386	29.9306
1267.0028	27.029
1267.9670	24.3976
1268.9313	22.191
1269.8955	20.535
1270.8597	19.5125
1271.8240	19.1552
1272.7882	19.4456
1273.7524	20.328
1274.7167	21.7242
1275.6809	23.5491
1276.6451	25.7219
1277.6094	28.1714
1278.5736	30.8372
1279.5378	33.6694
1280.5021	36.6263
1281.4663	39.6745
1282.4305	42.7893
1283.3948	45.9558
1284.3590	49.166
1285.3232	52.4098
1286.2875	55.659
1287.2517	58.8545
1288.2159	61.9089
1289.1802	64.7287
1290.1444	67.2493
1291.1086	69.4626
1292.0729	71.4195
1293.0371	73.2061
1294.0013	74.9053
1294.9656	76.5641
1295.9298	78.1812
1296.8940	79.7187
1297.8583	81.1285
1298.8225	82.3772
1299.7867	83.4571
1300.7510	84.3783
1301.7152	85.1522
1302.6794	85.7762
1303.6437	86.2308
1304.6079	86.4858
1305.5721	86.5082
1306.5364	86.2565
1307.5006	85.663
1308.4648	84.6211
1309.4291	83.0075
1310.3933	80.7552
1311.3575	77.9605
1312.3218	74.9604
1313.2860	72.3063
1314.2502	70.612
1315.2145	70.3377
1316.1787	71.6208
1317.1429	74.2241
1318.1072	77.618
1319.0714	81.1646
1320.0356	84.3367
1320.9999	86.8643
1321.9641	88.7406
1322.9283	90.1138
1323.8926	91.1583
1324.8568	91.9993
1325.8210	92.7009
1326.7853	93.292
1327.7495	93.7933
1328.7137	94.227
1329.6780	94.6131
1330.6422	94.9624
1331.6064	95.2783
1332.5707	95.5611
1333.5349	95.8136
1334.4991	96.0394
1335.4634	96.2405
1336.4276	96.4147
1337.3918	96.5564
1338.3561	96.6612
1339.3203	96.7314
1340.2845	96.7769
1341.2488	96.8118
1342.2130	96.8474
1343.1772	96.8889
1344.1415	96.9361
1345.1057	96.9862
1346.0699	97.0364
1347.0342	97.0862
1347.9984	97.1385
1348.9626	97.1978
1349.9269	97.2672
1350.8911	97.3465
1351.8553	97.4319
1352.8196	97.5175
1353.7838	97.5974
1354.7480	97.667
1355.7123	97.7243
1356.6765	97.7696
1357.6407	97.8051
1358.6050	97.8339
1359.5692	97.8587
1360.5334	97.8817
1361.4977	97.9041
1362.4619	97.9261
1363.4261	97.9475
1364.3904	97.9684
1365.3546	97.9905
1366.3188	98.0168
1367.2831	98.0506
1368.2473	98.0934
1369.2115	98.1434
1370.1758	98.1946
1371.1400	98.2382
1372.1042	98.2656
1373.0685	98.2716
1374.0327	98.2572
1374.9969	98.2296
1375.9612	98.1986
1376.9254	98.171
1377.8896	98.1488
1378.8539	98.131
1379.8181	98.1162
1380.7823	98.1042
1381.7466	98.0947
1382.7108	98.0854
1383.6750	98.0711
1384.6393	98.0444
1385.6035	97.9988
1386.5677	97.9338
1387.5320	97.8582
1388.4962	97.7844
1389.4604	97.7193
1390.4247	97.6601
1391.3889	97.5994
1392.3531	97.5312
1393.3174	97.4569
1394.2816	97.3855
1395.2458	97.329
1396.2101	97.2934
1397.1743	97.2748
1398.1385	97.2642
1399.1028	97.2552
1400.0670	97.2473
1401.0313	97.2429
1401.9955	97.2426
1402.9597	97.2428
1403.9240	97.2362
1404.8882	97.2152
1405.8524	97.1771
1406.8167	97.1267
1407.7809	97.0727
1408.7451	97.0207
1409.7094	96.9686
1410.6736	96.9076
1411.6378	96.8283
1412.6021	96.7282
1413.5663	96.6121
1414.5305	96.4812
1415.4948	96.3211
1416.4590	96.0945
1417.4232	95.7544
1418.3875	95.2798
1419.3517	94.7026
1420.3159	94.0701
1421.2802	93.3806
1422.2444	92.5756
1423.2086	91.589
1424.1729	90.3911
1425.1371	88.9884
1426.1013	87.3735
1427.0656	85.4706
1428.0298	83.1468
1428.9940	80.3222
1429.9583	77.1127
1430.9225	73.8535
1431.8867	70.9509
1432.8510	68.7305
1433.8152	67.4388
1434.7794	67.3159
1435.7437	68.5318
1436.7079	70.9137
1437.6721	73.8232
1438.6364	76.5397
1439.6006	78.7035
1440.5648	80.3092
1441.5291	81.4715
1442.4933	82.2766
1443.4575	82.7493
1444.4218	82.8644
1445.3860	82.555
1446.3502	81.7246
1447.3145	80.3097
1448.2787	78.4045
1449.2429	76.3404
1450.2072	74.5857
1451.1714	73.5319
1452.1356	73.3732
1453.0999	74.1538
1454.0641	75.8842
1455.0283	78.5881
1455.9926	82.1335
1456.9568	85.8696
1457.9210	88.7924
1458.8853	90.4987
1459.8495	91.3676
1460.8137	91.8908
1461.7780	92.3502
1462.7422	92.8607
1463.7064	93.4437
1464.6707	94.0559
1465.6349	94.6181
1466.5991	95.0751
1467.5634	95.4285
1468.5276	95.7148
1469.4918	95.9723
1470.4561	96.2266
1471.4203	96.4855
1472.3845	96.7361
1473.3488	96.9525
1474.3130	97.1174
1475.2772	97.235
1476.2415	97.319
1477.2057	97.3802
1478.1699	97.4245
1479.1342	97.4549
1480.0984	97.4722
1481.0626	97.4749
1482.0269	97.4602
1482.9911	97.4273
1483.9553	97.3782
1484.9196	97.3122
1485.8838	97.2115
1486.8480	97.0265
1487.8123	96.6802
1488.7765	96.1257
1489.7407	95.4338
1490.7050	94.7835
1491.6692	94.3349
1492.6334	94.1569
1493.5977	94.256
1494.5619	94.6155
1495.5261	95.1968
1496.4904	95.9108
1497.4546	96.6107
1498.4188	97.1617
1499.3831	97.5301
1500.3473	97.7704
1501.3115	97.9481
1502.2758	98.0987
1503.2400	98.2305
1504.2042	98.3375
1505.1685	98.4085
1506.1327	98.4363
1507.0969	98.4326
1508.0612	98.4253
1509.0254	98.4289
1509.9896	98.4383
1510.9539	98.4447
1511.9181	98.4432
1512.8823	98.431
1513.8466	98.4074
1514.8108	98.3745
1515.7750	98.3378
1516.7393	98.3046
1517.7035	98.2798
1518.6677	98.2644
1519.6320	98.2563
1520.5962	98.2539
1521.5604	98.2578
1522.5247	98.2688
1523.4889	98.286
1524.4531	98.3069
1525.4174	98.3285
1526.3816	98.3494
1527.3458	98.3692
1528.3101	98.3883
1529.2743	98.4056
1530.2385	98.4195
1531.2028	98.4281
1532.1670	98.4316
1533.1312	98.4349
1534.0955	98.4455
1535.0597	98.4685
1536.0239	98.5035
1536.9882	98.5458
1537.9524	98.5866
1538.9166	98.6108
1539.8809	98.6012
1540.8451	98.5579
1541.8093	98.51
1542.7736	98.4838
1543.7378	98.4806
1544.7020	98.4893
1545.6663	98.4993
1546.6305	98.5041
1547.5947	98.5011
1548.5590	98.4904
1549.5232	98.4733
1550.4874	98.4518
1551.4517	98.4284
1552.4159	98.4058
1553.3801	98.3853
1554.3444	98.3644
1555.3086	98.3352
1556.2728	98.2826
1557.2371	98.1891
1558.2013	98.0607
1559.1655	97.9511
1560.1298	97.9061
1561.0940	97.9091
1562.0582	97.9238
1563.0225	97.9285
1563.9867	97.9162
1564.9509	97.8866
1565.9152	97.8404
1566.8794	97.7742
1567.8436	97.6799
1568.8079	97.5527
1569.7721	97.4022
1570.7363	97.2478
1571.7006	97.0981
1572.6648	96.9331
1573.6290	96.7002
1574.5933	96.3226
1575.5575	95.7438
1576.5217	95.0068
1577.4860	94.263
1578.4502	93.6485
1579.4144	93.2004
1580.3787	92.8994
1581.3429	92.7294
1582.3071	92.6919
1583.2714	92.7883
1584.2356	93.0004
1585.1998	93.2925
1586.1641	93.6303
1587.1283	93.9919
1588.0925	94.3598
1589.0568	94.7075
1590.0210	94.9963
1590.9852	95.1877
1591.9495	95.2516
1592.9137	95.1545
1593.8779	94.8325
1594.8422	94.1768
1595.8064	93.0655
1596.7706	91.443
1597.7349	89.4077
1598.6991	87.2549
1599.6633	85.4398
1600.6276	84.4519
1601.5918	84.6264
1602.5560	85.9728
1603.5203	88.1407
1604.4845	90.5748
1605.4487	92.7598
1606.4130	94.3922
1607.3772	95.4106
1608.3414	95.9278
1609.3057	96.1296
1610.2699	96.1832
1611.2341	96.1886
1612.1984	96.184
1613.1626	96.178
1614.1268	96.174
1615.0911	96.1788
1616.0553	96.1984
1617.0195	96.2322
1617.9838	96.2737
1618.9480	96.3193
1619.9122	96.3717
1620.8765	96.4353
1621.8407	96.5104
1622.8049	96.5893
1623.7692	96.6569
1624.7334	96.6981
1625.6976	96.7045
1626.6619	96.6758
1627.6261	96.6174
1628.5903	96.5406
1629.5546	96.46
1630.5188	96.3874
1631.4830	96.3255
1632.4473	96.2661
1633.4115	96.1927
1634.3757	96.0881
1635.3400	95.9523
1636.3042	95.8167
1637.2684	95.7184
1638.2327	95.6646
1639.1969	95.6392
1640.1611	95.624
1641.1254	95.6077
1642.0896	95.5851
1643.0538	95.5556
1644.0181	95.5238
1644.9823	95.502
1645.9465	95.5079
1646.9108	95.5506
1647.8750	95.6188
1648.8392	95.6921
1649.8035	95.7581
1650.7677	95.8141
1651.7319	95.8617
1652.6962	95.9048
1653.6604	95.9487
1654.6246	95.9968
1655.5889	96.0485
1656.5531	96.1018
1657.5173	96.1551
1658.4816	96.2062
1659.4458	96.2514
1660.4100	96.2854
1661.3743	96.3044
1662.3385	96.3096
1663.3027	96.3073
1664.2670	96.3026
1665.2312	96.2938
1666.1954	96.2715
1667.1597	96.2215
1668.1239	96.1297
1669.0881	95.9926
1670.0524	95.8236
1671.0166	95.6407
1671.9808	95.4447
1672.9451	95.2152
1673.9094	94.9257
1674.8735	94.5678
1675.8379	94.1688
1676.8020	93.7823
1677.7664	93.4506
1678.7305	93.1822
1679.6948	92.9608
1680.6589	92.7634
1681.6233	92.572
1682.5874	92.3835
1683.5518	92.2195
1684.5159	92.1117
1685.4802	92.0619
1686.4443	92.0382
1687.4087	92.0076
1688.3728	91.953
1689.3372	91.8706
1690.3013	91.7598
1691.2656	91.6126
1692.2297	91.4065
1693.1941	91.1089
1694.1582	90.6932
1695.1226	90.1571
1696.0867	89.5184
1697.0510	88.773
1698.0151	87.8521
1698.9795	86.6624
1699.9436	85.2075
1700.9080	83.6265
1701.8721	82.0545
1702.8364	80.4733
1703.8005	78.709
1704.7649	76.54
1705.7290	73.8304
1706.6934	70.6164
1707.6575	67.0634
1708.6218	63.3107
1709.5859	59.3724
1710.5503	55.1894
1711.5144	50.7426
1712.4788	46.1149
1713.4429	41.4773
1714.4072	37.0493
1715.3713	33.1099
1716.3357	30.0446
1717.2998	28.232
1718.2642	27.7304
1719.2283	28.229
1720.1926	29.3795
1721.1567	31.0122
1722.1211	33.0974
1723.0852	35.6334
1724.0496	38.5783
1725.0137	41.8485
1725.9780	45.3577
1726.9421	49.0381
1727.9065	52.8221
1728.8706	56.6321
1729.8350	60.4253
1730.7991	64.2723
1731.7634	68.3678
1732.7275	72.839
1733.6919	77.4038
1734.6560	81.393
1735.6204	84.3393
1736.5845	86.3155
1737.5488	87.6894
1738.5129	88.8096
1739.4773	89.8711
1740.4414	90.902
1741.4058	91.8279
1742.3699	92.5847
1743.3342	93.1882
1744.2983	93.7073
1745.2627	94.2
1746.2268	94.6822
1747.1912	95.1376
1748.1553	95.5457
1749.1196	95.8996
1750.0837	96.2039
1751.0481	96.4607
1752.0122	96.6682
1752.9766	96.8302
1753.9407	96.9608
1754.9050	97.0772
1755.8691	97.1906
1756.8335	97.302
1757.7976	97.4053
1758.7620	97.4967
1759.7261	97.5784
1760.6904	97.655
1761.6545	97.7268
1762.6189	97.7887
1763.5830	97.8364
1764.5474	97.871
1765.5115	97.8981
1766.4758	97.922
1767.4399	97.9414
1768.4043	97.9499
1769.3684	97.9393
1770.3328	97.9058
1771.2969	97.8549
1772.2612	97.8019
1773.2253	97.7633
1774.1897	97.7465
1775.1538	97.7478
1776.1182	97.7575
1777.0823	97.7652
1778.0466	97.762
1779.0107	97.7423
1779.9751	97.7053
1780.9392	97.6551
1781.9036	97.5986
1782.8677	97.543
1783.8320	97.4957
1784.7961	97.4648
1785.7605	97.4574
1786.7246	97.4769
1787.6890	97.5219
1788.6531	97.5889
1789.6174	97.6745
1790.5815	97.7757
1791.5459	97.8881
1792.5100	98.0037
1793.4744	98.1139
1794.4385	98.2141
1795.4028	98.3047
1796.3669	98.3868
1797.3313	98.4598
1798.2954	98.5215
1799.2598	98.5696
1800.2239	98.6052
1801.1882	98.6328
1802.1523	98.6588
1803.1167	98.6876
1804.0808	98.7207
1805.0452	98.7572
1806.0093	98.7951
1806.9736	98.8311
1807.9377	98.8605
1808.9021	98.8782
1809.8662	98.8812
1810.8306	98.8707
1811.7947	98.852
1812.7590	98.8313
1813.7231	98.8117
1814.6875	98.7929
1815.6516	98.7726
1816.6160	98.7494
1817.5801	98.7244
1818.5444	98.7013
