TITLE	
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/10/20
TIME	15:36:44
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	0.964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  649.8934
LASTX	 4000.6047
NPOINTS	    3476
FIRSTY	    85.36781
MAXY	    99.37236
MINY	    67.77869
XYDATA
907.3438	89.9418
908.3080	89.6364
909.2722	89.2323
910.2365	88.7513
911.2007	88.2384
912.1649	87.7618
913.1292	87.3991
914.0934	87.2127
915.0576	87.2265
916.0219	87.4151
916.9861	87.7118
917.9503	88.0342
918.9146	88.3129
919.8788	88.5104
920.8430	88.6248
921.8073	88.679
922.7715	88.7049
923.7357	88.7325
924.7000	88.7834
925.6642	88.8705
926.6284	88.9976
927.5927	89.1584
928.5569	89.3369
929.5211	89.5115
930.4854	89.6624
931.4496	89.7798
932.4138	89.8667
933.3781	89.9361
934.3423	90.0015
935.3065	90.0684
936.2708	90.131
937.2350	90.1761
938.1992	90.1911
939.1635	90.1722
940.1277	90.1262
941.0919	90.0662
942.0562	90.0037
943.0204	89.9428
943.9846	89.8798
944.9489	89.8073
945.9131	89.7218
946.8773	89.626
947.8416	89.5268
948.8058	89.428
949.7700	89.3249
950.7343	89.2045
951.6985	89.0521
952.6627	88.861
953.6270	88.6379
954.5912	88.3995
955.5554	88.1631
956.5197	87.9352
957.4839	87.7067
958.4481	87.4562
959.4124	87.1604
960.3766	86.804
961.3408	86.3871
962.3051	85.9237
963.2693	85.4373
964.2335	84.9526
965.1978	84.4891
966.1620	84.0553
967.1262	83.6475
968.0905	83.2503
969.0547	82.842
970.0189	82.4011
970.9832	81.9126
971.9474	81.3716
972.9116	80.7833
973.8759	80.1623
974.8401	79.5318
975.8043	78.9246
976.7686	78.3825
977.7328	77.9524
978.6970	77.6777
979.6613	77.5889
980.6255	77.6954
981.5897	77.9828
982.5540	78.4166
983.5182	78.9485
984.4824	79.5247
985.4467	80.092
986.4109	80.6042
987.3751	81.0261
988.3394	81.3373
989.3036	81.5335
990.2678	81.6232
991.2321	81.6216
992.1963	81.5433
993.1605	81.3974
994.1248	81.1877
995.0890	80.9163
996.0532	80.5882
997.0175	80.2133
997.9817	79.8044
998.9459	79.3722
999.9102	78.9216
1000.8744	78.4505
1001.8386	77.9536
1002.8029	77.4276
1003.7671	76.8752
1004.7313	76.3049
1005.6956	75.7262
1006.6598	75.1443
1007.6240	74.557
1008.5883	73.9556
1009.5525	73.3307
1010.5167	72.6767
1011.4810	71.9951
1012.4452	71.2931
1013.4094	70.5819
1014.3737	69.8774
1015.3379	69.2045
1016.3021	68.6023
1017.2664	68.1246
1018.2306	67.8328
1019.1948	67.7787
1020.1591	67.9866
1021.1233	68.4412
1022.0875	69.0892
1023.0518	69.8534
1024.0160	70.6528
1024.9802	71.4202
1025.9445	72.1111
1026.9087	72.7032
1027.8729	73.193
1028.8372	73.5915
1029.8014	73.9212
1030.7656	74.212
1031.7299	74.4926
1032.6941	74.7804
1033.6583	75.0733
1034.6226	75.3511
1035.5868	75.5879
1036.5510	75.7707
1037.5153	75.9157
1038.4795	76.0712
1039.4437	76.3054
1040.4080	76.683
1041.3722	77.242
1042.3364	77.9815
1043.3007	78.8665
1044.2649	79.843
1045.2291	80.8577
1046.1934	81.8708
1047.1576	82.8592
1048.1218	83.8104
1049.0861	84.7162
1050.0503	85.5681
1051.0145	86.3587
1051.9788	87.0843
1052.9430	87.7471
1053.9072	88.3526
1054.8715	88.9048
1055.8357	89.4029
1056.7999	89.8412
1057.7642	90.2124
1058.7284	90.5116
1059.6926	90.7363
1060.6569	90.8834
1061.6211	90.945
1062.5853	90.9086
1063.5496	90.7647
1064.5138	90.519
1065.4780	90.203
1066.4423	89.8736
1067.4065	89.5994
1068.3707	89.4377
1069.3350	89.4129
1070.2992	89.5069
1071.2634	89.6679
1072.2277	89.8328
1073.1919	89.9535
1074.1561	90.0158
1075.1204	90.0416
1076.0846	90.0732
1077.0488	90.1476
1078.0131	90.2726
1078.9773	90.4161
1079.9415	90.5153
1080.9058	90.5037
1081.8700	90.343
1082.8342	90.0469
1083.7985	89.6837
1084.7627	89.3592
1085.7269	89.1842
1086.6912	89.243
1087.6554	89.5711
1088.6196	90.1506
1089.5839	90.92
1090.5481	91.794
1091.5123	92.6863
1092.4766	93.5272
1093.4408	94.2727
1094.4050	94.9045
1095.3693	95.4231
