Wavelength (nm),Transmission
810.059987,4.874285
810.753879,6.983130
811.418693,12.781829
812.174323,21.188621
812.732136,29.152375
813.421980,33.309716
814.085632,31.810078
814.782543,25.290177
815.557609,16.595327
816.086253,8.848887
816.769592,4.457785
817.456909,3.387915
818.135272,3.405421
818.858034,4.130915
819.436650,5.696363
820.116150,7.579146
820.802934,9.180659
821.484102,9.792105
822.197656,8.991555
822.775374,7.296697
823.468458,5.490842
824.145920,4.007745
824.806141,3.368143
825.540598,3.421203
826.105824,4.219559
826.788431,5.824413
827.470602,7.722453
828.136584,9.479361
828.860216,10.510900
829.441877,11.316247
830.132954,12.695065
830.795925,14.306045
831.456852,15.609592
832.203823,16.030257
832.764263,14.630762
833.432554,11.538362
834.123673,8.008521
834.778979,5.014176
835.532519,3.536775
836.071301,3.308327
836.736534,3.309718
837.406638,3.304870
838.101283,3.299269
838.828742,3.297660
839.390782,3.289345
840.086947,3.289815
840.745181,3.298260
841.415298,3.297594
842.119703,3.405780
842.698150,3.530177
843.391665,3.423070
844.054403,3.300017
844.707526,3.289010
845.438226,3.294971
845.993167,3.290262
846.665024,3.275258
847.344165,3.278648
848.006562,3.280699
848.720287,3.274993
849.287662,3.276923
849.962050,3.305960
850.638167,3.562983
851.293254,4.119507
852.016705,4.781903
852.577141,5.330897
853.259540,5.527726
853.927553,5.277975
854.575826,4.699396
855.299726,4.024823
855.855953,3.499666
856.531586,3.285257
857.203084,3.261051
857.853021,3.265646
858.588514,3.282156
859.135604,3.275081
859.823658,3.253305
860.487638,3.253099
861.127854,3.251111
861.865907,3.241395
862.409480,3.240428
863.089154,3.232035
863.747587,3.229988
864.393561,3.237873
865.127939,3.230259
865.672508,3.192859
866.361752,3.176846
867.011313,3.156885
867.657403,3.132840
868.385167,3.111148
868.932540,3.078703
869.612520,3.082503
870.266828,3.088539
870.919099,3.071158
871.604325,3.073412
872.194321,3.084800
872.851504,3.086764
873.521060,3.084746
874.170012,3.079096
874.890567,3.091913
875.434351,3.106106
876.113458,3.126158
876.768206,3.464525
877.409463,5.268744
878.138518,8.807217
878.666471,12.741295
879.352288,15.408681
879.999034,15.826231
880.644286,13.919982
881.369851,10.597040
881.901334,6.977609
882.583541,4.212799
883.236896,3.195894
883.866380,3.095373
884.595596,3.065854
885.132165,3.053294
885.808008,3.051923
886.461738,3.053978
887.093952,3.057008
887.832948,3.061691
888.355066,3.054083
